,TWEET,USER NAME,USER LOCATION
80,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",Berm_1984,
81,RT @lominattii: Mamba Mornings Ep 92 #shorts #mambamentality  #mamba  #nba #lakers #nbam... https://t.co/hFLlI7gCmK via @YouTube,lominatti,"New York, USA"
82,RT @jshector: Why are some of y'all acting surprised by the #NBA statement on players who don't comply with local vaxx mandates not being p…,TonyRushingNY,"New York, NY"
83,@RealBrysonGray Common #ChinaKingJames take a stand comrade!!!! #NBA,JoBiDeng,Beijing
84,—Communications: RT. #westchesterknicks #gleague #nbagleague #watchusrise #nextisnow #nba #ballislife #hoops [… https://t.co/wmXic7oCBr,thebreaksong,
85,RT @SebGorka: #NBA star @RealDealBeal23 destroys the vax myth. https://t.co/XU3yw2RPmp,outsilver87,
86,"RT @BetYourBallsVIP: Telegram admin sent this yesterday in our Bet Your Balls Official group... 😂

July babies be like 😐😐😐😐 

Join our Tele…",aykgskwu,
87,"There was always going to be a limit. We have reached the end of the #NBA owners' patience. 
https://t.co/zhYVFmvpyk",ScottRochelle_,"Chicago, IL"
88,—Communications: RT. #westchesterknicks #gleague #nbagleague #watchusrise #nextisnow #nba #ballislife #hoops [… https://t.co/xZflgUguaE,thebreaksong,
89,Every player in the Boston Celtics’ 2021-22 20-man training camp roster https://t.co/NQc9efFyOh… https://t.co/UQRQgocWwu,KennyWadeMusic,Worldwide
90,#NBA reporter Dave McMenamin has reached a new multiyear deal with #ESPN,JakeAKline,
91,@bensmithforreal Never mind that Wiggins plays in San Francisco and the city's vax mandate means no home games for… https://t.co/RGBK4qkjeZ,carfreerunner,
92,—Communications: RT. #westchesterknicks #gleague #nbagleague #watchusrise #nextisnow #nba #ballislife #hoops [… https://t.co/e8SklaQjZi,thebreaksong,
93,RT @APMMusic: Today we welcome #NBA franchise the @AtlHawks to the #APMSports family. We are looking forward to working with this organizat…,ApmSports,
94,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",dreamstarworld,War is here get out the cities
95,Today we welcome #NBA franchise the @AtlHawks to the #APMSports family. We are looking forward to working with this… https://t.co/Omo9czyFYb,APMMusic,"Hollywood, CA"
96,—Communications: RT. #westchesterknicks #gleague #nbagleague #watchusrise #nextisnow #nba #ballislife #hoops [… https://t.co/nl3QbuSCKa,thebreaksong,
97,"RT @BetYourBallsVIP: An accumulated buy of 5BNB during our #presale means FREE limited PLATINUM #NFT and a personalized $BYB VIP Card!

Joi…",aykgskwu,
98,RT @NYPost_Lewis: #NBA spokesman Mike Bass:  “Any player who elects not to comply with local vaccination mandates will not be paid for game…,kingboola,GLOBALLY INFINITE
99,"RT @BetYourBallsVIP: $BYB betting guarantees secure &amp; instant transactions &amp;withdrawals, minimal fees, &amp; convenience: bet whenever &amp; wherev…",aykgskwu,
100,"RT @IamScottHodges: George Gervin, The ""real"" Ice Man didn't fly F-14's, he finger rolled from the free throw line and is one of the 50 gre…",HeavyJ28,"Chicago, IL"
101,RT @jengart: Believe it or not I do have other skill sets than creating the 3D Burley mates. I’m starting a collection of vector portraits…,izzzikim,Canada
102,RT @SellTheTeamNYK: Game saving stop to send it to OT #2k22 #2kCommunity #2kfreeagent #2KIM #2kproam #2ktv #2ktvwow #nba  #nba2k22   #xbox …,EEL_Leagues,
103,"San Antonio #Spurs: New faces, same goal ... 
 
https://t.co/qv3xwF2P99
 
#Basketball… https://t.co/SyTkUyETfE",raw_chili,
104,RT @sean_muchenje: What on earth have I created here?? @NBA2K #nba #NBA2K22 @UncleDemi https://t.co/pGCp7pk1S1,2kDiscord,United States 
105,Why are some of y'all acting surprised by the #NBA statement on players who don't comply with local vaxx mandates n… https://t.co/1eLaaVPr2h,jshector,"New York, NY"
106,"Shop #ThunderUp Frames, Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/ar5b7sM3uX &lt;&lt; #NBA… https://t.co/gwkQPiTvUh",leavingforla,Montreal
107,"I hope the best for all the players, I am praying for them to get educated as well. #GetVaccinatedNow #nba #NBPA",indy_afro,
108,RT @NYPost_Lewis: #NBA spokesman Mike Bass:  “Any player who elects not to comply with local vaccination mandates will not be paid for game…,schneidman2,"Astoria, NY"
109,RT @Melanism: The agents for 10% of the #NBA https://t.co/gmwpLEijRX,Jayewill312,"my kind of town, chicago is..."
110,"RT @HoopAnalysisNet: #NBA spokesman Mike Bass: ""Any player who elects not to comply with local vaccination mandates will not be paid for ga…",Dash88That,
111,RT @NYPost_Lewis: #NBA spokesman Mike Bass:  “Any player who elects not to comply with local vaccination mandates will not be paid for game…,joefav,"Bergen County, New Jersey"
112,—Communications: RT. —Communications: RT. #westchesterknicks #gleague #nbagleague #watchusrise #nextisnow #nba… https://t.co/AZmwgrZzz8,thebreaksong,
113,RT @NYPost_Lewis: #NBA spokesman Mike Bass:  “Any player who elects not to comply with local vaccination mandates will not be paid for game…,johnadeleon,Where I Be
114,#NBA spokesman Mike Bass:  “Any player who elects not to comply with local vaccination mandates will not be paid fo… https://t.co/coRdcDcpQP,NYPost_Lewis,New York
115,NBA to dock pay for missed games related to local COVID-19 vaccine mandates https://t.co/BRlJhCDMpa… https://t.co/ivgPP8YnAf,KennyWadeMusic,Worldwide
116,Kyrie Irving has little trade value around the league right now? https://t.co/YrHUntOUiu https://t.co/4KBpljJ4cg… https://t.co/l33Ox4l270,KennyWadeMusic,Worldwide
117,"Well, I've taken the #NBA references out of my profile. The players being told they won't be paid for games because… https://t.co/2mPEnjQjlv",NBlakiston,"Phoenix, AZ"
118,I mentioned yesterday the CBA implied Kyrie Irving would lose money if he misses games for refusing to get vaxxed.… https://t.co/LYdfireIuk,NYPost_Lewis,New York
119,"RT @BetYourBallsVIP: Telegram admin sent this yesterday in our Bet Your Balls Official group... 😂

July babies be like 😐😐😐😐 

Join our Tele…",legonasy,
120,"#NBA spokesman Mike Bass: ""Any player who elects not to comply with local vaccination mandates will not be paid for… https://t.co/TAvEBmB4YJ",HoopAnalysisNet,
121,Oh shit! Now they’re going after their pockets. Shit bout to hit the fan. #NBA https://t.co/IfcHmt6Apz,chalie2na,"Baltimore, MD"
122,"RT @FinSports2: #NBATwitter - @painsworth512 is joined by @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simmons, John…",JNforsports,"New York, USA"
123,"RT @shooters_pod: Who wants to be a guest on Season 3 of the show?

If you are an #NBA #NFL #Soccer #Golf or #NCAAB fan reply and let's lin…",JNforsports,"New York, USA"
124,"👉 $21.10 👈
Ultra Game NBA Los Angeles Clippers Mens Jersey Sleeveless Muscle TShirt Black @topfanscorner 
#Ultra… https://t.co/0DmJNDkw00",topfanscorner,
125,"RT @FinSports2: #NBATwitter - @painsworth512 is joined by @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simmons, John…",dynasty_lounge,
126,"RT @ESPNPR: ESPN Re-signs #NBA Reporter @mcten with New Multi-Year Deal

🏀 Dave will continue to report on the Los Angeles Lakers across mu…",Dash88That,
127,"Though some disputed this, no way #NBA teams were paying players like Kyrie Irving and Andrew Wiggins who choose no… https://t.co/LOO9GKR5FL",JazzJohnson10,New York City
128,"RT @BetYourBallsVIP: An accumulated buy of 5BNB during our #presale means FREE limited PLATINUM #NFT and a personalized $BYB VIP Card!

Joi…",legonasy,
129,"RT @MarleyAndTebogo: #NBATwitter FOLLOW TRAIN!👏🏾

If you are a fan of the #NBA  and you follow back:

🏀FOLLOW ALL WHO LIKES THIS TWEET
🏀LIK…",emp_1973,"Kentucky, USA"
130,"@CryptoKanyee #sportemongo 

✅@jakepaul vs @TWooodley
✅ #graffitimansion
✅Top Athletes
✅Hibernian
✅Casino SCCG
✅EPL… https://t.co/PdrMeGu84l",bentan69187450,
131,"@coingecko #sportemongo 

✅@jakepaul vs @TWooodley
✅ #graffitimansion
✅Top Athletes
✅Hibernian
✅Casino SCCG
✅EPL… https://t.co/oOn6jTqpBB",bentan69187450,
132,"RT @ESPNPR: ESPN Re-signs #NBA Reporter @mcten with New Multi-Year Deal

🏀 Dave will continue to report on the Los Angeles Lakers across mu…",Ladiesman102204,
133,"Still recovering, Warriors All-Star Klay Thompson likely out until December #KlayThompson #NBA
 #Warriors #DubNatio https://t.co/N2TPekkqHl",FieldLevelMedia,"Seattle, WA"
134,"RT @BetYourBallsVIP: $BYB betting guarantees secure &amp; instant transactions &amp;withdrawals, minimal fees, &amp; convenience: bet whenever &amp; wherev…",legonasy,
135,"RT @FinSports2: #NBATwitter - @painsworth512 is joined by @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simmons, John…",FFRevamped,"Toronto, Ontario"
136,Kyrie right now.. #NBA #NETS https://t.co/VQ7hqa93TQ https://t.co/8PIb1o5FJO,DmadNYsportsfan,Jersey
137,"RT @Knickanators: Again, I’m a do it for my old heads, gang who would win a game of one on one between Bernard King or Alex English?

Alex…",eepdllc,
138,WATCH: Boston’s Jayson Tatum talks getting to the line more in 2021-22 https://t.co/VqweaTudyd… https://t.co/jht1dMeXrt,KennyWadeMusic,Worldwide
139,What #NBA #handicapper should I start following #gamblingtwitter? I don't need picks as much as I need a smidge of… https://t.co/F5xp0U1fTd,realjuicy,"Peoria, IL"
140,"@binance #sportemongo 

✅@jakepaul vs @TWooodley
✅ #graffitimansion
✅Top Athletes
✅Hibernian
✅Casino SCCG
✅EPL… https://t.co/4dODYASV2q",bentan69187450,
141,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",scottla39593375,
142,"RT @hendrixburner: 🚨NBA FOLLOW TRAIN TIME🚨

⁃FOLLOW EVERYONE WHO LIKES THIS TWEET
⁃LIKE THIS TWEET
⁃RT FOR LARGER AUDIENCE
⁃FOLLOW @hendrix…",ShangChiTheGOAT,19 he/him Cali
143,@JJudahIsaac #LSCsports has earned the privilege of #Insuring the biggest names in the #NFL #NBA #NHL #MLB. We star… https://t.co/ln3IzcW8H2,RobJame60172428,
144,"RT @IamScottHodges: George Gervin, The ""real"" Ice Man didn't fly F-14's, he finger rolled from the free throw line and is one of the 50 gre…",_Andyland_,
145,"RT @FinSports2: #NBATwitter - @painsworth512 is joined by @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simmons, John…",RealGuyTalkPod,"Massachusetts, USA"
146,"@cz_binance #sportemongo 

✅@jakepaul vs @TWooodley
✅ #graffitimansion
✅Top Athletes
✅Hibernian
✅Casino SCCG
✅EPL… https://t.co/3sPI8riXky",bentan69187450,
147,"@OverHatedNorth @OAnunoby I think OG is an all-star this year, if we win enough games and are a playoff team Raptor… https://t.co/c6reYDVfFc",YKDurrani,
148,RT @FinSports2: #NBATwitter- Need the latest? @painsworth512 joined @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simm…,FFRevamped,"Toronto, Ontario"
149,"RT @FinSports2: #NBATwitter - @painsworth512 is joined by @TaylorLPate of @ApolloHOU to discuss all of the #NBA drama on Ben Simmons, John…",dudes_couch,
150,"Michael Porter Jr Contract Swings Denver Nuggets’ Title Window Open

#MichaelPorter #NBA https://t.co/I3kq3kAikb",SportzFirst,New Delhi
151,"RT @shooters_pod: Who wants to be a guest on Season 3 of the show?

If you are an #NBA #NFL #Soccer #Golf or #NCAAB fan reply and let's lin…",FFRevamped,"Toronto, Ontario"
152,"ULTIMATE KEVIN DURANT MIXTAPE! 🔥🔥🔥
Happy birthday to @KDTrey5 the best player in the league. 🎉
-
#nba #mixtape… https://t.co/zDx4Q9goDx",OpenCourtFB,"Atlanta, GA"
153,"RT @21WIRE: Another brave #NBA player @RealDealBeal23 here, schooling the clueless and divisive media on the facts regarding the experiment…",Superalkaline11,
154,"@BobbyMarks42 Bobby, this is called hypocrisy! The #NBA has become the league of ignorance. Do not recognize player… https://t.co/DZRtHQ7hUT",JSapoznikov,"Orlando, FL"
155,"I'm going to make a point using facts. 1995 Rockets starters:

Clyde Drexler 34
Mario Ellie 34
Hakeem Olajuwon 34
K… https://t.co/MVVi3OKIkX",Knightinkarma,"3: Sol, M. Way, Loc, Virgo SC"
