,TWEET,USER NAME,USER LOCATION
93,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,JakesFFootball,
94,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,RealGuyTalkPod,"Massachusetts, USA"
95,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,JeffWarnerNFL,"Emmaus,PA"
96,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,RONDO_UNO,"Las Vegas, NV"
97,"RT @foolsmate_web: FOOL'S MATE chyannelアーカイヴとして、
NoGoDのインタヴュー(60分超え!!)がYouTubeで公開されました!!　視聴はコチラ↓
https://t.co/t4xldGKJLs
チャンネル登録をお願いします!!
#…",junko_fujita,ゆかり王国
98,"If #Kyrie is ready to sit out 43+ regular season games this season to avoid being vaccinated, would billionaire… https://t.co/dFwmn1cb4L",HoopsDistillery,"Massachusetts, USA"
99,"RT @BallsinOurCourt: EP. 239: NBA Media Day. The Hardwood Nation's own CL Anthony joined on discussions. 
https://t.co/XjHfmdkgBo
https://t…",ChrisWestsideJX,"Jacksonville, FL"
100,"📣 New Podcast! ""9.28.21 The Charlie Tuna Show"" on @Spreaker #kyrie #nba #nfl https://t.co/oqMXI389bM",590TheFan,"St Louis, MO"
101,"RT @BallsinOurCourt: EP. 239: NBA Media Day. The Hardwood Nation's own CL Anthony joined on discussions. 
https://t.co/XjHfmdkgBo
https://t…",kevinc2415,
102,"RT @BallsinOurCourt: EP. 239: NBA Media Day. The Hardwood Nation's own CL Anthony joined on discussions. 
https://t.co/XjHfmdkgBo
https://t…",InthemindofCP,"Four Corners, FL"
103,"EP. 239: NBA Media Day. The Hardwood Nation's own CL Anthony joined on discussions. 
https://t.co/XjHfmdkgBo… https://t.co/JKp2noQ2CE",BallsinOurCourt,"Jacksonville, FL & Orlando, FL"
104,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,ShkBkMediaGrp,"Fate, Tex."
105,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,warzonesportss,
106,"RT @CorporationDom: Kyrie·io #brand and #domainname for sale. 
DM
#Domains #domainsforsale 
#kyrie #KyrieIrving",theDomainBot,
107,"Kyrie·io #brand and #domainname for sale. 
DM
#Domains #domainsforsale 
#kyrie #KyrieIrving",CorporationDom,Global
108,BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr… https://t.co/4IJ4lsTawj,ShkBkMediaGrp,"Fate, Tex."
109,The only thing that could somewhat make up for this Ben Simmons drama is Kyrie tanking the Nets season because of “… https://t.co/mt6OELrKMg,Lidre_21,
110,"Janamday wishes you a very happy birthday @duranthighlights ❤️💐🎂.
.
.
Follow
👇👇👇😊
.
@janamday for more..
.
.… https://t.co/prx26Fsjo0",DayJanam,
111,"@taradublinrocks @KyrieIrving FIT AND HEALTHY 35 YEAR OLD MAN
@WonnorCLE @taradublinrocks @Houstonchris365… https://t.co/d3gsPxHOmm",poweronia,"Fullerton, CA"
112,I heard #Kyrie and #BenSimmons were at Tigers practice tonight??!! Is that accurate @zacharytthomas,Cu11enM,"Memphis, TN"
113,@OmowaleAfrika People fear what they don't understand. PERIOD. #Kyrie,XitrucNiVri,United States
114,RT @EAgencyofficial: The third edition of #HobnobAccra  was 🔥.A culturally diverse and business minded audience !We look forward to partner…,obiedagod,"Accra, Ghana"
115,"RT @poweronia: @MarkG_Medina SHE WAS A MED SCHOOL STUDENT
University required it
@HoopersX @hmfaigen @MarkG_Medina @RussLakey @marianharte1…",wireless_step,
116,"@MarkG_Medina SHE WAS A MED SCHOOL STUDENT
University required it
@HoopersX @hmfaigen @MarkG_Medina @RussLakey… https://t.co/H3bLtbeXW5",poweronia,"Fullerton, CA"
117,If lebron can get vaccinated there’s no reason any other player should not be vaccinated #Kyrie,b1gjuan,"Lafayette, LA"
118,Kyrie is fine on the #Nets but he shouldn’t take the vaccine. Where is Kyrie this season? LMBAO! #Kyrie… https://t.co/HBs3Xjtn5U,Mz_Kiang,
119,I’m so proud of @KyrieIrving   Take all the time you need and don’t cave. Your teammates can handle it by themselve… https://t.co/wt6cdJDtD9,Mz_Kiang,
120,"@Capalot4Mo None, dudes a bum #kyrie #nets",spacemanlbj,"San Diego, CA"
121,"📣 New Podcast! ""The Pick and Roll NBA Podcast W/ Jet and Sap - EP 123 - Kyrie Irving &amp; the NBA's Dangerous Anti-Vax… https://t.co/EaBA1avLtd",FullPressRadio,
122,"この動画を気に入った方はリツイートとチャンネル登録お願いします！！
【NBA】カイリー・アービング天才のドライブ【スラッシャー】 https://t.co/wq72MFodTA YouTubeさんから
#NBA　#MLB　#NFL… https://t.co/bxPii8dZdW",USAMIX3,
123,I wonder how would the media and @NBA react if instead of #Kyrie it was Jordan refusing this vaccine. Would they be… https://t.co/Fo1RnV69el,hewlett615,
124,@WajahatAli Well @kaj33 must have forgotten why he stood by Ali back in the day. It was for his right to be him so… https://t.co/IXZPBspQ5G,hewlett615,
125,@stephenasmith Somebody need to trade/fire your ass. Now all these ppl that work for the CDC doesn’t have to take i… https://t.co/VjmIublhk7,hewlett615,
126,"Tiens, quand @OBrother_op retweete un fil commençant par #Syrie , je lis par réflexe #Kyrie .
Marrant ces court-circuits de la pensée.",GalaMolecules,Sûrement au labo
127,"A scorching, not take and well done by the great Sally Jenkins at @washingtonpost  #Kyrie #CovidVaccine 
https://t.co/UQpAdjFZ8z",jurisdiva,"ÜT: 33.75933,-118.139319"
